Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
1,Unassigned,Propshop Events and Exhibitions Limited,Not Found,Yes,No,No,0,0,0,N/A,N/A,N/A,Not Found,N/A,N/A,Not Found
2,Unassigned,Metalic Technoforge Limited,metalictechnoforge.com,Yes,No,No,0,0,0,N/A,N/A,N/A,Not Found,N/A,N/A,Not Found
3,Unassigned,Happy Steels Limited,happysteels.com,Yes,No,No,0,0,0,N/A,N/A,N/A,Not Found,N/A,N/A,Not Found
4,Unassigned,IC Electricals Company Limited,Not Found,Yes,No,No,0,0,0,N/A,N/A,N/A,Not Found,N/A,N/A,Not Found
5,Unassigned,Vinit Mobile Limited,Not Found,Yes,No,No,0,0,0,N/A,N/A,N/A,Not Found,N/A,N/A,Not Found
