SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
538922,COSYN Ltd,Active,X,10.0,INE029B01019,,COSYN,Equity,https://www.bseindia.com/stock-share-price/cosyn-ltd/cosyn/538922/,COSYN Limited,15.68
538923,Sofcom Systems Ltd,Active,XT,10.0,INE499Q01012,,SOFCOM,Equity,https://www.bseindia.com/stock-share-price/sofcom-systems-ltd/sofcom/538923/,SOFCOM SYSTEMS LIMITED,49.67
538926,Naturite Agro Products Ltd,Active,X,10.0,INE223R01014,,NAPL,Equity,https://www.bseindia.com/stock-share-price/naturite-agro-products-ltd/napl/538926/,Naturite Agro Products Limited,103.67
538928,Karnavati Finance Ltd,Active,X,1.0,INE554R01020,,KARNAVATI,Equity,https://www.bseindia.com/stock-share-price/karnavati-finance-ltd/karnavati/538928/,Karnavati Finance Limited,13.37
538935,Abhishek Finlease Ltd,Active,XT,10.0,INE723C01015,,ABHIFIN,Equity,https://www.bseindia.com/stock-share-price/abhishek-finlease-ltd/abhifin/538935/,Abhishek Finlease limited,24.51
538942,Mercantile Ventures Ltd,Active,B,10.0,INE689O01013,,MERCANTILE,Equity,https://www.bseindia.com/stock-share-price/mercantile-ventures-ltd/mercantile/538942/,Mercantile Ventures Limited,281.47
538943,Sonal Mercantile Ltd,Active,B,10.0,INE321M01017,,SONAL,Equity,https://www.bseindia.com/stock-share-price/sonal-mercantile-ltd/sonal/538943/,Sonal Mercantile Limited,125.42
538952,Abhinav Leasing & Finance Ltd,Active,X,1.0,INE211D01027,,ALFL,Equity,https://www.bseindia.com/stock-share-price/abhinav-leasing--finance-ltd/alfl/538952/,Abhinav Leasing & Finance Limited,5.50
538961,Genus Paper & Boards Ltd,Active,B,1.0,INE949P01018,,GENUSPAPER,Equity,https://www.bseindia.com/stock-share-price/genus-paper--boards-ltd/genuspaper/538961/,GENUS PAPER & BOARDS LIMITED,320.89
538962,Minda Corporation Ltd,Active,A,2.0,INE842C01021,,MINDACORP,Equity,https://www.bseindia.com/stock-share-price/minda-corporation-ltd/mindacorp/538962/,Minda Corporation Limited,17134.82
538964,Mercury Laboratories Ltd,Active,X,10.0,INE947G01011,,MERCURYLAB,Equity,https://www.bseindia.com/stock-share-price/mercury-laboratories-ltd/mercurylab/538964/,Mercury Laboratories Limited,98.27
538965,Concord Drugs Ltd,Active,X,10.0,INE858L01010,,CONCORD,Equity,https://www.bseindia.com/stock-share-price/concord-drugs-ltd/concord/538965/,Concord Drugs Limited,96.70
538970,Wardwizard Innovations & Mobility Ltd,Active,X,1.0,INE945P01024,,WARDINMOBI,Equity,https://www.bseindia.com/stock-share-price/wardwizard-innovations--mobility-ltd/wardinmobi/538970/,WARDWIZARD INNOVATIONS AND MOBILITY LIMITED,201.55
538975,Shree Securities Ltd,Active,Z,1.0,INE397C01026,,SHREESEC,Equity,https://www.bseindia.com/stock-share-price/shree-securities-ltd/shreesec/538975/,Shree Securities Ltd.,15.96
538979,Greenlam Industries Ltd,Active,B,1.0,INE544R01021,,GREENLAM,Equity,https://www.bseindia.com/stock-share-price/greenlam-industries-ltd/greenlam/538979/,Greenlam Industries Ltd,6947.67
538987,Talbros Engineering Ltd,Active,X,10.0,INE717E01013,,TALBROSENG,Equity,https://www.bseindia.com/stock-share-price/talbros-engineering-ltd/talbroseng/538987/,TALBROS ENGINEERING LIMITED,345.96
538992,SAR Auto Products Ltd,Active,X,10.0,INE002E01010,,SAPL,Equity,https://www.bseindia.com/stock-share-price/sar-auto-products-ltd/sapl/538992/,Sar  Auto Products Limited,1698.15
538993,Purohit Construction Ltd,Active,X,10.0,INE147J01012,,PUROHITCON,Equity,https://www.bseindia.com/stock-share-price/purohit-construction-ltd/purohitcon/538993/,Purohit Construction Limited,5.44
539005,Jayatma Enterprises Ltd,Active,XT,10.0,INE246D01015,,JAYATMA,Equity,https://www.bseindia.com/stock-share-price/jayatma-enterprises-ltd/jayatma/539005/,JAYATMA ENTERPRISES LIMITED,8.57
539006,PTC Industries Ltd,Active,A,10.0,INE596F01018,,PTCIL,Equity,https://www.bseindia.com/stock-share-price/ptc-industries-ltd/ptcil/539006/,PTC Industries Ltd.,27345.88
