[2026-08-02T07:37:55.520Z] COMPANY: "360 ONE Mutual Fund" | QUERIES: ["360 ONE Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 155ms | REASON: Resolved via self-search
[2026-08-02T07:37:55.611Z] COMPANY: "ADITYA BIRLA SUN LIFE MF" | QUERIES: ["ADITYA BIRLA SUN LIFE MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 89ms | REASON: Resolved via self-search
[2026-08-02T07:37:55.703Z] COMPANY: "ASK Mutual Fund" | QUERIES: ["ASK Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 91ms | REASON: Resolved via self-search
[2026-08-02T07:37:55.792Z] COMPANY: "AXIS MF" | QUERIES: ["AXIS MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 88ms | REASON: Resolved via self-search
[2026-08-02T07:37:55.879Z] COMPANY: "Abakkus Mutual Fund" | QUERIES: ["Abakkus Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 86ms | REASON: Resolved via self-search
[2026-08-02T07:38:21.813Z] COMPANY: "AlphaGrep Mutual Fund" | QUERIES: ["AlphaGrep Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 113ms | REASON: Resolved via self-search
[2026-08-02T07:38:21.904Z] COMPANY: "Angel One Mutual Fund" | QUERIES: ["Angel One Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 90ms | REASON: Resolved via self-search
[2026-08-02T07:38:22.004Z] COMPANY: "BAJAJ FINSERV MUTUAL FUND" | QUERIES: ["BAJAJ FINSERV MUTUAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 99ms | REASON: Resolved via self-search
[2026-08-02T07:38:22.090Z] COMPANY: "Bandhan Mutual Fund" | QUERIES: ["Bandhan Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 85ms | REASON: Resolved via self-search
[2026-08-02T07:38:22.192Z] COMPANY: "Bank of India Mutual Fund" | QUERIES: ["Bank of India Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 101ms | REASON: Resolved via self-search
